3.3.2016: 0, 750, ЮВ 1м/с, 0, 749, ЮВ 1м/с
4.3.2016: +3, 747, В 2м/с, +2, 746, В 2м/с
5.3.2016: +2, 745, З 1м/с, +2, 746, З 1м/с
6.3.2016: +3, 751, З 1м/с, +2, 753, З 1м/с
7.3.2016: +6, 757, Ш, 0, 758, Ш
8.3.2016: +3, 758, СВ 2м/с, +3, 758, СВ 2м/с
9.3.2016: +2, 756, В 2м/с, +1, 756, В 2м/с
10.3.2016: +3, 756, В 3м/с, 0, 756, В 3м/с
11.3.2016: +4, 752, В 1м/с, +2, 752, В 1м/с
12.3.2016: +6, 749, СЗ 2м/с, +2, 750, СЗ 2м/с
13.3.2016: +1, 750, СЗ 4м/с, -2, 750, СЗ 4м/с
14.3.2016: -2, 749, С 1м/с, -3, 749, С 1м/с
15.3.2016: -2, 748, С 2м/с, -7, 746, С 2м/с
16.3.2016: 0, 737, З 3м/с, -1, 733, З 3м/с
17.3.2016: +2, 734, СЗ 2м/с, -1, 734, СЗ 2м/с
18.3.2016: +3, 729, ЮЗ 3м/с, +1, 728, ЮЗ 3м/с
19.3.2016: -4, 728, СЗ 4м/с, -7, 736, СЗ 4м/с
20.3.2016: -4, 743, ЮЗ 2м/с, -7, 744, ЮЗ 2м/с
21.3.2016: -2, 745, З 2м/с, -5, 746, З 2м/с
22.3.2016: -2, 749, ЮВ 2м/с, -4, 749, ЮВ 2м/с
23.3.2016: +4, 746, ЮВ 3м/с, +3, 746, ЮВ 3м/с
24.3.2016: +2, 747, З 1м/с, 0, 748, З 1м/с
25.3.2016: +2, 749, В 3м/с, +2, 749, В 3м/с
26.3.2016: +6, 746, В 2м/с, +4, 744, В 2м/с
27.3.2016: +2, 742, СЗ 2м/с, +2, 743, СЗ 2м/с
28.3.2016: +3, 748, СЗ 2м/с, +2, 749, СЗ 2м/с
29.3.2016: +5, 755, ЮВ 2м/с, +2, 755, ЮВ 2м/с
30.3.2016: +6, 754, В 1м/с, +2, 753, В 1м/с
31.3.2016: +9, 752, СЗ 2м/с, +4, 751, СЗ 2м/с
1.4.2016: +4, 742, З 3м/с, +4, 742, З 3м/с
2.4.2016: +5, 734, В 3м/с, +8, 732, В 3м/с
3.4.2016: +6, 737, ЮЗ 3м/с, +3, 739, ЮЗ 3м/с
4.4.2016: +5, 743, ЮЗ 2м/с, +4, 743, ЮЗ 2м/с
5.4.2016: +5, 742, С 1м/с, +2, 743, С 1м/с
6.4.2016: +4, 744, СЗ 2м/с, +2, 746, СЗ 2м/с
7.4.2016: +6, 749, З 2м/с, +2, 750, З 2м/с
8.4.2016: +14, 752, С 1м/с, +9, 752, С 1м/с
9.4.2016: +17, 754, Ю 2м/с, +13, 753, Ю 2м/с
10.4.2016: +17, 754, ЮЗ 4м/с, +12, 753, ЮЗ 4м/с
11.4.2016: +19, 750, ЮЗ 3м/с, +14, 750, ЮЗ 3м/с
12.4.2016: +17, 750, СЗ 1м/с, +11, 751, СЗ 1м/с
13.4.2016: +20, 749, ЮЗ 2м/с, +16, 749, ЮЗ 2м/с
14.4.2016: +19, 744, В 3м/с, +15, 744, В 3м/с
15.4.2016: +22, 743, ЮЗ 2м/с, +18, 745, ЮЗ 2м/с
16.4.2016: +23, 746, ЮЗ 2м/с, +19, 746, ЮЗ 2м/с
17.4.2016: +18, 744, С 1м/с, +13, 744, С 1м/с
18.4.2016: +9, 745, С 2м/с, +9, 745, С 2м/с
19.4.2016: +15, 741, В 1м/с, +12, 740, В 1м/с
20.4.2016: +10, 743, З 3м/с, +10, 745, З 3м/с
21.4.2016: +11, 742, ЮВ 3м/с, +13, 740, ЮВ 3м/с
22.4.2016: +11, 745, З 3м/с, +8, 746, З 3м/с
23.4.2016: +9, 742, ЮЗ 2м/с, +6, 744, ЮЗ 2м/с
24.4.2016: , , , +9, 754, Ш
25.4.2016: +18, 754, В 2м/с, +15, 753, В 2м/с
26.4.2016: +22, 752, В 3м/с, +16, 751, В 3м/с
27.4.2016: +20, 749, В 2м/с, +16, 751, В 2м/с
28.4.2016: +17, 752, В 4м/с, +12, 754, В 4м/с
29.4.2016: +15, 756, В 2м/с, +12, 757, В 2м/с
30.4.2016: +14, 753, В 3м/с, +10, 752, В 3м/с
1.5.2016: +10, 749, В 2м/с, +9, 750, В 2м/с
2.5.2016: +12, 751, В 3м/с, +10, 750, В 3м/с
3.5.2016: +15, 749, В 2м/с, +10, 749, В 2м/с
4.5.2016: +11, 746, СВ 1м/с, +11, 746, СВ 1м/с
5.5.2016: +19, 747, В 2м/с, +15, 749, В 2м/с
6.5.2016: +21, 749, В 2м/с, +18, 749, В 2м/с
7.5.2016: +23, 749, С 3м/с, +18, 750, С 3м/с
8.5.2016: +21, 752, С 1м/с, +15, 752, С 1м/с
9.5.2016: +19, 754, З 2м/с, +17, 752, З 2м/с
10.5.2016: +25, 749, З 4м/с, +19, 749, З 4м/с
11.5.2016: +22, 751, З 1м/с, +18, 749, З 1м/с
12.5.2016: +22, 744, ЮЗ 2м/с, +15, 743, ЮЗ 2м/с
13.5.2016: +10, 742, С 3м/с, +7, 743, С 3м/с
14.5.2016: +15, 745, СВ 3м/с, +10, 746, СВ 3м/с
15.5.2016: +8, 747, В 2м/с, +8, 748, В 2м/с
16.5.2016: +15, 748, В 3м/с, +13, 749, В 3м/с
17.5.2016: +18, 750, ЮВ 3м/с, +15, 752, ЮВ 3м/с
18.5.2016: +17, 752, В 3м/с, +13, 752, В 3м/с
19.5.2016: +24, 751, В 2м/с, +20, 750, В 2м/с
20.5.2016: +17, 748, З 1м/с, +16, 749, З 1м/с
21.5.2016: +20, 748, В 2м/с, +14, 749, В 2м/с
22.5.2016: +20, 747, ЮЗ 2м/с, +16, 748, ЮЗ 2м/с
23.5.2016: +21, 751, С 2м/с, +17, 751, С 2м/с
24.5.2016: +25, 749, ЮВ 2м/с, +22, 749, ЮВ 2м/с
25.5.2016: +29, 748, ЮВ 2м/с, +23, 748, ЮВ 2м/с
26.5.2016: +30, 749, ЮВ 2м/с, +21, 749, ЮВ 2м/с
27.5.2016: +29, 751, З 2м/с, +21, 751, З 2м/с
28.5.2016: +30, 751, З 2м/с, +25, 751, З 2м/с
29.5.2016: +30, 750, СВ 1м/с, +24, 750, СВ 1м/с
30.5.2016: +24, 749, СЗ 2м/с, +21, 748, СЗ 2м/с
31.5.2016: +17, 751, СВ 3м/с, +14, 752, СВ 3м/с
1.6.2016: , , , +15, 752, Ш
2.6.2016: +21, 749, СЗ 2м/с, +18, 749, СЗ 2м/с
3.6.2016: +20, 744, СВ 2м/с, +19, 743, СВ 2м/с
4.6.2016: +18, 743, З 1м/с, +17, 743, З 1м/с
5.6.2016: +25, 742, З 4м/с, +18, 743, З 4м/с
6.6.2016: +22, 743, ЮЗ 3м/с, +18, 743, ЮЗ 3м/с
7.6.2016: +18, 741, З 4м/с, +15, 743, З 4м/с
8.6.2016: +12, 745, З 3м/с, +12, 746, З 3м/с
9.6.2016: +16, 749, З 3м/с, +12, 749, З 3м/с
10.6.2016: +20, 750, З 2м/с, +13, 750, З 2м/с
11.6.2016: +24, 751, З 2м/с, +17, 750, З 2м/с
12.6.2016: +26, 748, ЮЗ 2м/с, +22, 747, ЮЗ 2м/с
13.6.2016: +22, 746, ЮЗ 2м/с, +20, 747, ЮЗ 2м/с
14.6.2016: +22, 749, З 1м/с, +20, 749, З 1м/с
15.6.2016: +29, 749, З 1м/с, +26, 749, З 1м/с
16.6.2016: +31, 750, В 1м/с, +27, 751, В 1м/с
17.6.2016: +31, 752, СВ 1м/с, +26, 753, СВ 1м/с
18.6.2016: +29, 753, В 3м/с, +23, 752, В 3м/с
19.6.2016: +31, 752, З 2м/с, +27, 752, З 2м/с
20.6.2016: +30, 752, З 1м/с, +24, 753, З 1м/с
21.6.2016: +30, 754, С 2м/с, +26, 754, С 2м/с
22.6.2016: +31, 752, С 2м/с, +23, 752, С 2м/с
23.6.2016: +27, 749, СЗ 4м/с, +23, 749, СЗ 4м/с
24.6.2016: +26, 749, СЗ 3м/с, +22, 749, СЗ 3м/с
25.6.2016: +20, 750, З 1м/с, +18, 750, З 1м/с
26.6.2016: +22, 748, ЮВ 1м/с, +17, 746, ЮВ 1м/с
27.6.2016: +24, 741, З 2м/с, +21, 740, З 2м/с
28.6.2016: +19, 744, СЗ 4м/с, +15, 745, СЗ 4м/с
29.6.2016: +23, 746, СЗ 3м/с, +19, 746, СЗ 3м/с
30.6.2016: +24, 746, СЗ 3м/с, +20, 747, СЗ 3м/с
1.7.2016: +23, 749, СЗ 2м/с, +18, 749, СЗ 2м/с
2.7.2016: +26, 747, СЗ 3м/с, +23, 747, СЗ 3м/с
3.7.2016: +29, 745, СЗ 2м/с, +25, 746, СЗ 2м/с
4.7.2016: +29, 743, З 2м/с, +21, 743, З 2м/с
5.7.2016: +30, 740, ЮЗ 3м/с, +22, 742, ЮЗ 3м/с
6.7.2016: +24, 745, З 3м/с, +21, 746, З 3м/с
7.7.2016: +26, 749, З 2м/с, +22, 748, З 2м/с
8.7.2016: +31, 746, ЮВ 2м/с, +25, 744, ЮВ 2м/с
9.7.2016: +19, 740, З 2м/с, +16, 742, З 2м/с
10.7.2016: +24, 746, З 3м/с, +22, 746, З 3м/с
11.7.2016: +27, 747, З 2м/с, +20, 747, З 2м/с
12.7.2016: +21, 746, ЮЗ 1м/с, +18, 746, ЮЗ 1м/с
13.7.2016: +29, 746, З 4м/с, +25, 746, З 4м/с
14.7.2016: +31, 746, З 3м/с, +28, 745, З 3м/с
15.7.2016: +29, 749, СЗ 2м/с, +23, 749, СЗ 2м/с
16.7.2016: +30, 749, СЗ 3м/с, +25, 749, СЗ 3м/с
17.7.2016: +33, 746, З 4м/с, +24, 747, З 4м/с
18.7.2016: +29, 745, СЗ 3м/с, +25, 745, СЗ 3м/с
19.7.2016: +28, 744, СВ 3м/с, +24, 744, СВ 3м/с
20.7.2016: +28, 745, В 3м/с, +26, 746, В 3м/с
21.7.2016: +31, 747, В 2м/с, +26, 747, В 2м/с
22.7.2016: +18, 746, ЮВ 2м/с, +17, 746, ЮВ 2м/с
23.7.2016: +24, 744, В 2м/с, +18, 746, В 2м/с
24.7.2016: +23, 745, З 3м/с, +22, 745, З 3м/с
25.7.2016: +26, 746, С 2м/с, +23, 747, С 2м/с
26.7.2016: +26, 749, СВ 2м/с, +23, 749, СВ 2м/с
27.7.2016: +27, 749, С 1м/с, +21, 749, С 1м/с
28.7.2016: +28, 748, З 2м/с, +21, 748, З 2м/с
29.7.2016: +29, 746, З 3м/с, +21, 746, З 3м/с
30.7.2016: +31, 747, З 3м/с, +22, 748, З 3м/с
31.7.2016: +32, 749, З 2м/с, +25, 749, З 2м/с
1.8.2016: +21, 751, СЗ 2м/с, +21, 752, СЗ 2м/с
2.8.2016: +31, 751, З 2м/с, +22, 750, З 2м/с
3.8.2016: +33, 749, ЮЗ 2м/с, +28, 749, ЮЗ 2м/с
4.8.2016: +33, 749, ЮЗ 1м/с, +25, 751, ЮЗ 1м/с
5.8.2016: +31, 752, СЗ 2м/с, +25, 753, СЗ 2м/с
6.8.2016: +30, 755, В 1м/с, +25, 755, В 1м/с
7.8.2016: +31, 753, В 1м/с, +21, 752, В 1м/с
8.8.2016: +34, 749, ЮВ 1м/с, +27, 749, ЮВ 1м/с
9.8.2016: +26, 750, СЗ 2м/с, +24, 750, СЗ 2м/с
10.8.2016: +29, 749, СВ 3м/с, +26, 748, СВ 3м/с
11.8.2016: +30, 747, В 3м/с, +24, 747, В 3м/с
12.8.2016: +33, 749, СЗ 1м/с, +27, 749, СЗ 1м/с
13.8.2016: +34, 749, З 3м/с, +31, 749, З 3м/с
14.8.2016: +36, 748, ЮВ 2м/с, +30, 748, ЮВ 2м/с
15.8.2016: +30, 746, ЮЗ 2м/с, +22, 749, ЮЗ 2м/с
16.8.2016: +26, 753, З 2м/с, +19, 754, З 2м/с
17.8.2016: +33, 752, ЮВ 2м/с, +29, 751, ЮВ 2м/с
18.8.2016: +35, 752, В 2м/с, +29, 753, В 2м/с
19.8.2016: +34, 753, ЮВ 2м/с, +29, 753, ЮВ 2м/с
20.8.2016: +36, 754, В 2м/с, +29, 755, В 2м/с
21.8.2016: +29, 756, ЮВ 3м/с, +27, 756, ЮВ 3м/с
22.8.2016: +29, 757, ЮВ 1м/с, +25, 757, ЮВ 1м/с
23.8.2016: +32, 757, СЗ 1м/с, +24, 756, СЗ 1м/с
24.8.2016: +33, 753, З 2м/с, +23, 752, З 2м/с
25.8.2016: +33, 749, Ю 2м/с, +21, 749, Ю 2м/с
26.8.2016: +24, 749, ЮЗ 1м/с, +20, 749, ЮЗ 1м/с
27.8.2016: +22, 751, СЗ 2м/с, +19, 752, СЗ 2м/с
28.8.2016: +28, 746, З 3м/с, +23, 746, З 3м/с
29.8.2016: +20, 752, СЗ 3м/с, +15, 754, СЗ 3м/с
30.8.2016: +22, 754, ЮЗ 2м/с, +20, 752, ЮЗ 2м/с
31.8.2016: +27, 747, ЮЗ 3м/с, +22, 746, ЮЗ 3м/с
1.9.2016: +14, 742, СВ 1м/с, +11, 741, СВ 1м/с
2.9.2016: +14, 738, С 2м/с, +13, 742, С 2м/с
3.9.2016: +17, 744, З 3м/с, +15, 746, З 3м/с
4.9.2016: +22, 746, СЗ 2м/с, +14, 747, СЗ 2м/с
5.9.2016: +20, 749, З 2м/с, +21, 747, З 2м/с
6.9.2016: +20, 748, З 2м/с, +16, 749, З 2м/с
7.9.2016: +17, 746, З 3м/с, +12, 745, З 3м/с
8.9.2016: +14, 739, З 2м/с, +13, 737, З 2м/с
9.9.2016: +14, 741, СЗ 3м/с, +12, 744, СЗ 3м/с
10.9.2016: +14, 747, З 2м/с, +12, 748, З 2м/с
11.9.2016: +14, 748, СЗ 2м/с, +10, 749, СЗ 2м/с
12.9.2016: +12, 750, З 2м/с, +11, 749, З 2м/с
13.9.2016: +17, 737, СЗ 3м/с, +12, 739, СЗ 3м/с
14.9.2016: +12, 740, СЗ 3м/с, +9, 742, СЗ 3м/с
15.9.2016: +11, 741, Ш, +9, 741, Ш
16.9.2016: +13, 743, З 2м/с, +10, 744, З 2м/с
17.9.2016: +11, 742, В 1м/с, +10, 743, В 1м/с
18.9.2016: +14, 743, З 3м/с, +10, 743, З 3м/с
19.9.2016: +10, 745, ЮЗ 2м/с, +10, 746, ЮЗ 2м/с
20.9.2016: +12, 749, ЮЗ 2м/с, +10, 749, ЮЗ 2м/с
21.9.2016: +10, 746, В 4м/с, +12, 745, В 4м/с
22.9.2016: +19, 746, ЮЗ 2м/с, +13, 749, ЮЗ 2м/с
23.9.2016: +14, 753, СЗ 2м/с, +13, 752, СЗ 2м/с
24.9.2016: +20, 749, В 3м/с, +17, 749, В 3м/с
25.9.2016: +21, 748, В 3м/с, +14, 749, В 3м/с
26.9.2016: +15, 750, ЮЗ 1м/с, +12, 749, ЮЗ 1м/с
27.9.2016: +10, 747, В 2м/с, +10, 746, В 2м/с
28.9.2016: +13, 743, СВ 1м/с, +10, 744, СВ 1м/с
29.9.2016: +12, 744, З 1м/с, +10, 746, З 1м/с
30.9.2016: +13, 749, С 1м/с, +10, 751, С 1м/с
1.10.2016: +11, 749, З 3м/с, +12, 751, З 3м/с
2.10.2016: +19, 756, З 2м/с, +13, 758, З 2м/с
3.10.2016: +17, 757, Ш, +16, 756, Ш
4.10.2016: +19, 755, ЮЗ 2м/с, +13, 755, ЮЗ 2м/с
5.10.2016: +21, 756, В 2м/с, +13, 756, В 2м/с
6.10.2016: +12, 758, В 2м/с, +9, 758, В 2м/с
7.10.2016: +16, 755, В 3м/с, +13, 755, В 3м/с
8.10.2016: +18, 753, В 2м/с, +13, 755, В 2м/с
9.10.2016: +11, 755, В 2м/с, +7, 755, В 2м/с
10.10.2016: +7, 755, СВ 3м/с, +2, 756, СВ 3м/с
11.10.2016: +5, 755, СВ 2м/с, +3, 757, СВ 2м/с
12.10.2016: +7, 758, СЗ 2м/с, +3, 758, СЗ 2м/с
13.10.2016: +4, 755, З 2м/с, +3, 754, З 2м/с
14.10.2016: +2, 753, Ю 1м/с, +2, 754, Ю 1м/с
15.10.2016: +5, 755, С 2м/с, +4, 755, С 2м/с
16.10.2016: +2, 758, СВ 3м/с, +2, 760, СВ 3м/с
17.10.2016: +4, 761, С 1м/с, +3, 760, С 1м/с
18.10.2016: +4, 757, З 3м/с, +4, 758, З 3м/с
19.10.2016: +6, 759, СЗ 1м/с, +4, 759, СЗ 1м/с
20.10.2016: +6, 761, СЗ 2м/с, +3, 762, СЗ 2м/с
21.10.2016: +3, 765, СВ 2м/с, 0, 767, СВ 2м/с
22.10.2016: +3, 769, СВ 2м/с, +1, 769, СВ 2м/с
23.10.2016: +1, 772, В 2м/с, -1, 773, В 2м/с
24.10.2016: +2, 774, С 1м/с, +1, 773, С 1м/с
25.10.2016: +1, 772, СВ 1м/с, 0, 771, СВ 1м/с
26.10.2016: 0, 770, Ю 1м/с, -1, 769, Ю 1м/с
27.10.2016: +3, 767, В 2м/с, +2, 765, В 2м/с
28.10.2016: +3, 761, СВ 1м/с, -1, 759, СВ 1м/с
29.10.2016: -1, 752, С 1м/с, -1, 750, С 1м/с
30.10.2016: 0, 745, ЮВ 2м/с, 0, 745, ЮВ 2м/с
31.10.2016: 0, 737, СВ 2м/с, -2, 740, СВ 2м/с
1.11.2016: -2, 746, СЗ 2м/с, -4, 748, СЗ 2м/с
2.11.2016: -4, 751, С 1м/с, -6, 753, С 1м/с
3.11.2016: -4, 755, В 2м/с, -5, 755, В 2м/с
4.11.2016: 0, 746, ЮЗ 2м/с, +1, 747, ЮЗ 2м/с
5.11.2016: +1, 748, ЮЗ 2м/с, -2, 748, ЮЗ 2м/с
6.11.2016: -1, 753, З 3м/с, -2, 755, З 3м/с
7.11.2016: -2, 752, ЮВ 4м/с, +1, 750, ЮВ 4м/с
8.11.2016: +7, 747, ЮЗ 2м/с, +7, 749, ЮЗ 2м/с
9.11.2016: +2, 752, В 2м/с, +2, 752, В 2м/с
10.11.2016: +1, 752, В 3м/с, 0, 753, В 3м/с
11.11.2016: +6, 748, В 2м/с, +7, 749, В 2м/с
12.11.2016: +2, 752, ЮЗ 3м/с, +1, 752, ЮЗ 3м/с
13.11.2016: -2, 755, З 2м/с, -3, 757, З 2м/с
14.11.2016: -2, 759, В 1м/с, -4, 759, В 1м/с
15.11.2016: -6, 761, СВ 1м/с, -9, 762, СВ 1м/с
16.11.2016: -7, 761, ЮВ 1м/с, -9, 762, ЮВ 1м/с
17.11.2016: -6, 763, ЮВ 1м/с, -8, 764, ЮВ 1м/с
18.11.2016: -6, 765, ЮВ 1м/с, -9, 767, ЮВ 1м/с
19.11.2016: -8, 773, ЮВ 2м/с, -10, 775, ЮВ 2м/с
20.11.2016: -11, 780, ЮВ 2м/с, -13, 781, ЮВ 2м/с
21.11.2016: -9, 779, ЮЗ 2м/с, -11, 778, ЮЗ 2м/с
22.11.2016: -5, 774, З 2м/с, -8, 773, З 2м/с
23.11.2016: -3, 767, З 4м/с, -6, 765, З 4м/с
24.11.2016: -1, 757, З 4м/с, -4, 755, З 4м/с
25.11.2016: -2, 747, ЮЗ 3м/с, -2, 746, ЮЗ 3м/с
26.11.2016: -2, 740, З 3м/с, -2, 743, З 3м/с
27.11.2016: -2, 738, ЮЗ 3м/с, -1, 740, ЮЗ 3м/с
28.11.2016: +2, 740, Ю 2м/с, +4, 738, Ю 2м/с
29.11.2016: 0, 745, ЮЗ 3м/с, -1, 746, ЮЗ 3м/с
30.11.2016: -8, 749, З 3м/с, -10, 749, З 3м/с
1.12.2016: -9, 752, Ю 1м/с, -11, 753, Ю 1м/с
2.12.2016: -9, 752, ЮВ 2м/с, -9, 749, ЮВ 2м/с
3.12.2016: -7, 738, С 1м/с, -9, 740, С 1м/с
4.12.2016: -9, 747, СЗ 3м/с, -11, 749, СЗ 3м/с
5.12.2016: -10, 749, З 1м/с, -11, 748, З 1м/с
6.12.2016: -6, 738, ЮЗ 3м/с, -4, 739, ЮЗ 3м/с
7.12.2016: -15, 745, СЗ 3м/с, -18, 747, СЗ 3м/с
8.12.2016: -16, 746, Ю 2м/с, -13, 742, Ю 2м/с
9.12.2016: -7, 737, З 1м/с, -6, 737, З 1м/с
10.12.2016: -5, 730, З 2м/с, -4, 730, З 2м/с
11.12.2016: -11, 737, СЗ 3м/с, -15, 740, СЗ 3м/с
12.12.2016: -15, 743, З 1м/с, -16, 743, З 1м/с
13.12.2016: -15, 746, СЗ 2м/с, -17, 749, СЗ 2м/с
14.12.2016: -18, 751, З 2м/с, -19, 752, З 2м/с
15.12.2016: -18, 751, ЮЗ 1м/с, -20, 752, ЮЗ 1м/с
16.12.2016: -21, 757, С 2м/с, -23, 758, С 2м/с
17.12.2016: -19, 755, З 3м/с, -16, 752, З 3м/с
18.12.2016: -9, 746, З 3м/с, -7, 746, З 3м/с
19.12.2016: -2, 743, З 2м/с, -3, 743, З 2м/с
20.12.2016: -21, 758, С 1м/с, -25, 760, С 1м/с
21.12.2016: -15, 751, З 3м/с, -10, 748, З 3м/с
22.12.2016: -19, 758, СВ 2м/с, -19, 761, СВ 2м/с
23.12.2016: -12, 758, Ю 1м/с, -9, 757, Ю 1м/с
24.12.2016: -7, 752, ЮЗ 2м/с, -7, 752, ЮЗ 2м/с
25.12.2016: -8, 753, В 1м/с, -8, 753, В 1м/с
26.12.2016: -7, 752, З 1м/с, -7, 750, З 1м/с
27.12.2016: -4, 746, ЮЗ 4м/с, -5, 746, ЮЗ 4м/с
28.12.2016: -3, 749, ЮЗ 2м/с, -3, 751, ЮЗ 2м/с
29.12.2016: -2, 757, З 2м/с, -3, 758, З 2м/с
30.12.2016: -5, 755, З 1м/с, -5, 754, З 1м/с
31.12.2016: -4, 747, З 5м/с, -3, 744, З 5м/с
1.1.2017: -4, 740, ЮЗ 2м/с, -4, 740, ЮЗ 2м/с
2.1.2017: -3, 736, ЮЗ 2м/с, -2, 735, ЮЗ 2м/с
3.1.2017: 0, 734, З 3м/с, 0, 735, З 3м/с
4.1.2017: -5, 741, СЗ 2м/с, -9, 746, СЗ 2м/с
5.1.2017: -6, 749, ЮВ 3м/с, -3, 747, ЮВ 3м/с
6.1.2017: -1, 752, ЮЗ 1м/с, -3, 754, ЮЗ 1м/с
7.1.2017: -3, 753, В 3м/с, -3, 751, В 3м/с
8.1.2017: -7, 754, СВ 1м/с, -8, 755, СВ 1м/с
9.1.2017: -10, 755, СЗ 1м/с, -10, 754, СЗ 1м/с
10.1.2017: -9, 754, З 1м/с, -9, 755, З 1м/с
11.1.2017: -7, 755, З 3м/с, -7, 755, З 3м/с
12.1.2017: -11, 755, ЮЗ 2м/с, -13, 755, ЮЗ 2м/с
13.1.2017: -7, 755, ЮВ 2м/с, -8, 756, ЮВ 2м/с
14.1.2017: -12, 760, ЮВ 1м/с, -14, 761, ЮВ 1м/с
15.1.2017: -14, 762, В 2м/с, -18, 762, В 2м/с
16.1.2017: -14, 763, ЮВ 2м/с, -15, 763, ЮВ 2м/с
17.1.2017: -12, 762, ЮВ 1м/с, -14, 761, ЮВ 1м/с
18.1.2017: -14, 760, З 2м/с, -13, 760, З 2м/с
19.1.2017: -9, 756, З 2м/с, -9, 753, З 2м/с
20.1.2017: -8, 741, З 3м/с, -5, 741, З 3м/с
21.1.2017: -9, 740, З 3м/с, -9, 739, З 3м/с
22.1.2017: -8, 742, СЗ 3м/с, -9, 742, СЗ 3м/с
23.1.2017: -7, 747, З 3м/с, -9, 747, З 3м/с
24.1.2017: -1, 740, З 3м/с, -2, 741, З 3м/с
25.1.2017: -6, 745, СВ 2м/с, -12, 747, СВ 2м/с
26.1.2017: -17, 748, СЗ 3м/с, -19, 747, СЗ 3м/с
27.1.2017: -16, 749, З 1м/с, -16, 749, З 1м/с
28.1.2017: -19, 755, В 3м/с, -22, 759, В 3м/с
29.1.2017: -15, 764, В 1м/с, -20, 765, В 1м/с
30.1.2017: -12, 763, З 2м/с, -16, 761, З 2м/с
31.1.2017: -10, 755, З 1м/с, -17, 754, З 1м/с
1.2.2017: -11, 746, З 2м/с, -12, 744, З 2м/с
2.2.2017: -8, 743, СЗ 3м/с, -9, 746, СЗ 3м/с
3.2.2017: -11, 752, СЗ 3м/с, -13, 754, СЗ 3м/с
4.2.2017: -13, 758, З 1м/с, -16, 757, З 1м/с
5.2.2017: -12, 746, В 5м/с, -11, 743, В 5м/с
6.2.2017: -16, 751, СЗ 3м/с, -21, 753, СЗ 3м/с
7.2.2017: -16, 756, СЗ 2м/с, -21, 757, СЗ 2м/с
8.2.2017: -15, 758, СЗ 4м/с, -16, 760, СЗ 4м/с
9.2.2017: -12, 760, С 2м/с, -21, 761, С 2м/с
10.2.2017: -7, 755, З 2м/с, -8, 755, З 2м/с
11.2.2017: -11, 759, СЗ 1м/с, -15, 760, СЗ 1м/с
12.2.2017: -10, 761, ЮЗ 2м/с, -12, 761, ЮЗ 2м/с
13.2.2017: -8, 761, ЮЗ 2м/с, -11, 758, ЮЗ 2м/с
14.2.2017: -7, 746, Ю 3м/с, -9, 746, Ю 3м/с
15.2.2017: -8, 746, В 3м/с, -9, 747, В 3м/с
16.2.2017: -8, 752, С 2м/с, -12, 755, С 2м/с
17.2.2017: -6, 755, ЮВ 1м/с, -14, 755, ЮВ 1м/с
18.2.2017: -11, 746, ЮЗ 3м/с, -8, 745, ЮЗ 3м/с
19.2.2017: +2, 746, СЗ 3м/с, -2, 749, СЗ 3м/с
20.2.2017: +1, 743, ЮЗ 5м/с, +1, 743, ЮЗ 5м/с
21.2.2017: +2, 740, ЮЗ 3м/с, +1, 740, ЮЗ 3м/с
22.2.2017: +1, 741, ЮВ 3м/с, 0, 740, ЮВ 3м/с
23.2.2017: +1, 740, Ю 3м/с, 0, 739, Ю 3м/с
24.2.2017: +2, 738, ЮЗ 1м/с, +1, 740, ЮЗ 1м/с
25.2.2017: +2, 738, ЮЗ 2м/с, +1, 737, ЮЗ 2м/с
26.2.2017: 0, 743, З 3м/с, -3, 744, З 3м/с
27.2.2017: -2, 745, ЮЗ 3м/с, 0, 746, ЮЗ 3м/с
28.2.2017: +1, 752, СЗ 2м/с, -2, 755, СЗ 2м/с
1.3.2017: +1, 758, Ю 1м/с, -3, 758, Ю 1м/с
2.3.2017: -2, 758, ЮВ 3м/с, -3, 757, ЮВ 3м/с
3.3.2017: +1, 752, ЮВ 3м/с, 0, 752, ЮВ 3м/с
4.3.2017: +1, 752, Ю 3м/с, 0, 754, Ю 3м/с
5.3.2017: +4, 758, Ю 2м/с, -1, 758, Ю 2м/с
6.3.2017: +5, 756, ЮЗ 3м/с, +1, 757, ЮЗ 3м/с
7.3.2017: +1, 761, Ю 2м/с, -2, 762, Ю 2м/с
8.3.2017: -3, 765, В 1м/с, -3, 766, В 1м/с
9.3.2017: -3, 766, В 2м/с, -5, 766, В 2м/с
10.3.2017: -5, 765, ЮВ 2м/с, -6, 764, ЮВ 2м/с
11.3.2017: -2, 764, ЮВ 2м/с, -7, 763, ЮВ 2м/с
12.3.2017: -2, 762, ЮВ 1м/с, -6, 762, ЮВ 1м/с
13.3.2017: +1, 760, ЮЗ 2м/с, -4, 759, ЮЗ 2м/с
14.3.2017: +3, 758, ЮЗ 1м/с, -7, 758, ЮЗ 1м/с
15.3.2017: -1, 757, В 2м/с, -4, 755, В 2м/с
16.3.2017: 0, 754, В 4м/с, -4, 754, В 4м/с
17.3.2017: -2, 755, В 4м/с, -3, 754, В 4м/с
18.3.2017: -4, 752, ЮВ 2м/с, -5, 752, ЮВ 2м/с
19.3.2017: -4, 752, ЮВ 3м/с, -5, 752, ЮВ 3м/с
20.3.2017: 0, 752, В 3м/с, -4, 752, В 3м/с
21.3.2017: +2, 752, В 4м/с, 0, 752, В 4м/с
